nom,departement,numero_dep,categorie,resume,histoire,latitude,longitude,adresse,baignade,toilettes,restaurant,photo
Les fées des houles,Côte d’Armor & Ille-et-Villaine,2235,Créatures Fantastiques,Des fées bienveillantes qui viennent en aide aux humains...,"Fée Armelle : “Cette histoire est en partie la mienne ; voici la légende des fées des Houles. Les fées ont toujours été considérées comme des créatures d’une grande beauté. Mais les fées des Houles ont cette aura particulière, éthérée. Bien qu’elles soient des créatures extrêmement puissantes, elles sont bienveillantes envers les humains et leur viennent en aide de multiples façons en leur fournissant de la nourriture, des objets ou encore en leur enseignant la magie. Alors, si vous vous promenez un jour sur les plages de Cancale, soyez bien attentif… Il n’est pas impossible qu’un brin de magie vous fasse vivre une expérience inoubliable. “",48.83074188232422,-3.4850218296051025,22700 Perros-Guirec,TRUE,TRUE,TRUE,https://www.tourismebretagne.com/app/uploads/crt-bretagne/2018/10/ploumanac-h-5-1920x960-crop-1540892671.jpg
La légende de St Efflam,Côte d’Armor & Ille-et-Villaine,2235,Créatures Fantastiques,Une histoire d'amour et de dragons...,"De nombreuses légendes merveilleuses tournent autour du grand rocher mais la plus magique est certainement celle de St Efflam. Efflam est l’unique fils d’un chef de clan né au Vème siècle. Malgré sa volonté de devenir moine, il fut fiancé à Enora, la fille d’un roi d’Irlande. Cependant, lors de la nuit de noces, il embarqua pour l’Armorique pour y fonder un ermitage. Une fois arrivé, il tomba nez à nez avec le roi Arthur, en plein combat avec un énorme dragon. Constatant qu’Arthur ne parvenait pas à venir à bout de cette bête, il s’empressa de faire jaillir une source de son bâton afin de le désaltérer et décida lui-même de s’occuper du dragon. Il lui ordonna, au nom du Christ, de se montrer. La bête obéit et surgit du grand rocher avant de disparaître en mer sans laisser de traces. Suite à cet évenement, Efflam s’installa au pied du grand rocher et invita sa femme Enora à le rejoindre. Les deux époux passèrent le reste de leur vie ensemble, menant une vie de religieux.",48.670864749933,-3.6029395955050605,22310 Plestin-les-Grèves,TRUE,TRUE,TRUE,https://api.cloudly.space/resize/clip/1900/1080/75/aHR0cHM6Ly9jZHQzNS5tZWRpYS50b3VyaW5zb2Z0LmV1L3VwbG9hZC9QbGFnZS1kZS1TYWludC1FZmZsYW0uanBn/image.jpg
La légende de St Efflam,Côte d’Armor & Ille-et-Villaine,2235,Histoires Maritimes,Une histoire d'amour et de dragons...,"Ce gros rocher fait parler de lui, et il y a de quoi ! On raconte qu’une vieille légende s’y rattache : celle de St Efflam. Efflam est l’unique fils d’un chef de clan né au Vème siècle. Malgré sa volonté de devenir moine, il fut fiancé à Enora, la fille d’un roi d’Irlande. Mais, lors de la nuit de noces, il embarqua pour l’Armorique pour y fonder un ermitage. Une fois arrivé, il tomba nez à nez avec le roi Arthur, en plein combat avec un énorme dragon, mille millions de sabords ! Constatant qu’Arthur ne parvenait pas à venir à bout de cette affreuse bête, il s’empressa de faire jaillir une source de son bâton afin de le désaltérer et décida lui-même de s’occuper du dragon. Il lui ordonna, au nom du Christ, de se montrer. La bête obéit et surgit du grand rocher avant de disparaître en mer sans laisser de traces. Suite à cet évenement, Efflam s’installa au pied du grand rocher et invita sa femme Enora à le rejoindre. Les deux époux passèrent le reste de leur vie ensemble, menant une vie de religieux.",48.670864749933,-3.6029395955050605,22310 Plestin-les-Grèves,TRUE,TRUE,TRUE,https://api.cloudly.space/resize/clip/1900/1080/75/aHR0cHM6Ly9jZHQzNS5tZWRpYS50b3VyaW5zb2Z0LmV1L3VwbG9hZC9QbGFnZS1kZS1TYWludC1FZmZsYW0uanBn/image.jpg
La légende du naufrage,Côte d’Armor & Ille-et-Villaine,2235,Histoires Maritimes,Un miracle qui a sauvé la vie de tout un navire...,"Peut-être as-tu entendu parler de cette drôle de légende. Elle raconte que lors d’une nuit de brouillard, un vieux rafiot fit naufrage. Bien que l’équipage et les passagers étaient tous sûrs d’y passer, une mère de famille implora une dame de les sauver. La vierge qu’elle s'appelait je crois. Et là, sortie de nulle part, une lumière est apparue. On dit que c’est la Vierge qui aurait ordonné aux Roc’h Karlés situés dans les collines de venir au secours des pauvres matelots pour grimper sur les flancs et échapper aux au déchainement de l’océan.",48.67205504062106,-3.588691701901473,22310 Plestin-les-Grèves,TRUE,TRUE,TRUE,https://www.bretagne-cotedegranitrose.com/app/uploads/lannion-tourisme/2020/06/thumbs/plestin-les-grves-beg-douar-9-b-torrubia-2012-1920x960-crop-1592317398.jpg
La légende du naufrage,Côte d’Armor & Ille-et-Villaine,2235,Croyances Religion,Un miracle qui a sauvé la vie de tout un navire...,"Cette sainte légende est l’histoire d’un miracle ! Elle raconte que lors d’une nuit de brouillard farouchement agitée, un bateau fit naufrage. Bien que l’équipage et les passagers étaient tous prêts à s’en rendre à la décision de Dieu, une mère de famille implora Notre Dame de Bon Secours de les sauver. Aussitôt, une lumière éclatante est apparue. On dit que c’est la Sainte Vierge, mère du Christ, qui aurait ordonné aux Roc’h Karlés situé dans les collines de venir au secours des naufragés pour grimper sur les flancs et échapper aux flots déchaînés.",48.67205504062106,-3.588691701901473,22310 Plestin-les-Grèves,TRUE,TRUE,TRUE,https://www.bretagne-cotedegranitrose.com/app/uploads/lannion-tourisme/2020/06/thumbs/plestin-les-grves-beg-douar-9-b-torrubia-2012-1920x960-crop-1592317398.jpg
Guénolé de Landévennec,Finistère,29,Croyances Religion,Un saint confronté à son pire ennemi : le diable... ,"Saint Guénolé était un confrère voué à la religion et chargé de protéger l'Île de Sein, qui s’appelait à l’époque Insula Seidhun. Il devait aussi protéger ses habitants des injonctions et des paroles envoyées par le Diable. Le brave homme faisait souvent le trajet entre l’Abbaye de Landevennec et l’Ile , et il s’arrêtait souvent faire une pause au Bec du Raz pour contempler sa cité. Il envisageait de construire un pont entre le bec et l’Ile afin que les habitants puissent voyager plus facilement et sans danger lorsque le temps était mauvais. Un jour, alors que Guénolé contemplait le paysage, un bel homme s’approcha de lui. Le Saint reconnu immédiatement à son ton mielleux et ses pieds fourchus que devant lui se tenait le Diable en personne.

'Que me veux-tu, Polig ? (Petit Paul, surnom du diable)
— Je veux aller sur l’île qui est au loin là-bas.
— Par ma crosse, tu ne passeras pas.
— J’ai ouï dire que tu envisages de construire un pont, et tu ne pourras pas m’empêcher de l’emprunter lorsqu’il sera construit.
— Alors je ne construirai pas de pont.
— Dans ce cas là, tu seras parjure car tu as donné ta parole. Tu perdras ta sainteté et tu deviendras vite mon disciple car le mensonge aura raison de toi.'

Guénolé était dans une impasse. La construction du pont entraînerait la venue du Diable et par conséquent la perte des âmes qui peuplaient l'Île. Mais si le Saint renonçait à construire ce pont, il deviendrait un menteur aux yeux des habitants.

Mais notre seigneur Dieu veillait, et les prières de Guénolé furent miraculeusement entendues. Ayant pitié de son pasteur, il lui offrit un miracle. Grâce à la protection divine, le Saint établit un pont de glace entre l'Île de Sein et le Bec du Raz, sachant pertinemment que le Diable ne tarderait pas à arriver. Ce dernier se montra effectivement très rapidement, persuadé de sa victoire, ne pouvant attendre de corrompre les âmes innocentes des Iliens. Mais alors qu’il se précipitait sur le pont, ses sabots brûlants firent fondre la glace, l’entrainant ainsi au bas de la falaise que l’on nomme aujourd’hui 'la cheminée du Diable'. Loin de reconnaître sa défaite, le Diable tenta de prendre le bateau pour revenir sur l'île. Mais ses sabots incandescents l'empêchaient à nouveau d’atteindre son but, brûlant les navires de bois avant qu’ils n’arrivent au port. 

Constatant que le Diable n’abandonnait pas, Guénolé usa de nouveau de sa protection divine pour augmenter la force des courants, rendant ainsi son périple parmi les flots encore plus difficile et éleva la chaleur de ses sabots pour qu’aucune chaussure ou autre protection ne puisse protéger les bateaux de ses pieds bouillants.

",48.03757878062565,-4.851845667552539,29990 Île-de-Sein,TRUE,TRUE,TRUE,https://www.tourismebretagne.com/app/uploads/crt-bretagne/2018/10/d-audierne-a-l-ile-de-sein-echappee-belle-10-1920x960-crop-1540919383.jpg
La Baie des Trépassés,Finistère,29,Histoires Maritimes,Une plage macabre qui effraie les marins de toute la Bretagne ... ,"Ho hé moussaillon ! Je te déconseille d’aller plus loin car la baie des trépassés possède une bien sinistre histoire... Aussi appelée Boë an Anao venant du breton qui signifie la “baie des âmes en peine”, la légende reliée à cette baie raconte qu’autrefois, les corps des matelots qui avaient perdu la vie en mer venaient s’y échouer. Les vents dominants et les marées faisaient que les corps de ces pauvres loups de mer se retrouvaient poussés par le courant et ramenés vers cette fameuse baie des trépassés. On raconte aussi que durant la nuit de Noël, les chants des âmes en peine sur le bateau des morts résonnaient dans la nuit. Brrrr…",48.04701087675775,-4.7068684850055025,Cléden-Cap-Sizun 29770,TRUE,FALSE,TRUE,https://fr.wikipedia.org/wiki/Baie_des_Tr%C3%A9pass%C3%A9s#/media/Fichier:Baie_des_Tr%C3%A9pass%C3%A9s.jpg
La ville d'Ys,Finistère,29,Histoires Maritimes,La ville légendaire Bretonne engloutie par l'Océan surgira-t-elle à nouveau ...,"
Non d’une pipe, ça fait bien longtemps que je n’ai pas entendu parler de la ville d’Ys ! Engloutie par les eaux, cette ville possède une célèbre légende. Elle aurait été bâtie par un roi de Cornouaille en l’honneur de sa fillette. La cité pouvait se situer en dessous du niveau de la mer et était protégée par une digue. Elle bénéficiait d’un port dont l’écluse était contrôlée par le roi. La fille du roi, qui s’appelait Dahut, rêvait que sa ville devienne prospère, elle s’empara un jour d’un dragon dont elle se servit pour détourner les navires marchands alentour et ainsi s’approprier leurs richesses. Ys devint rapidement une cité puissante. Chaque soir, la maîtresse d’Ys invitait ses amants à la rejoindre et leur couvrait le visage avec un masque. Ce masque se transformait en griffes de métal et tuait les pauvres moussaillons dont les corps étaient jetés du haut de la falaise. Un beau jour, un prince de passage vint à la rencontre de Dahut. Elle en tomba profondément amoureuse. Ce prince n’était nul autre que le Diable, qui venait punir la ville. Aveuglée par son amour, Dahut déroba la clé de l’écluse à son père pour l’offrir à l’élu de son cœur. Ce dernier ouvrit l’écluse en les flots envahirent la cité. Seul le roi réussit à en réchapper, grâce à l’aide de Saint Gwénolé.

On dit qu’encore aujourd'hui, lorsque la mer est agitée, on peut entendre sonner les cloches d’Ys, la ville engloutie.
",48.093228,-4.328619,Douarnenez 29100,TRUE,TRUE,TRUE,https://i.pinimg.com/originals/eb/3d/1f/eb3d1f1b45e3fbf1a407bc1df69940bc.jpg
La ville d'Ys,Finistère,29,Croyances Religion,La ville légendaire Bretonne engloutie par l'Océan surgira-t-elle à nouveau ...,"
Peut-être connaissez-vous cette ancienne cité, mon enfant. Si ce n’est pas le cas, laissez-moi vous raconter sa sainte histoire. La ville d’Ys Elle aurait été bâtie par un roi de Cornouaille en l’honneur de sa chère fille. La cité pouvait se situer en dessous du niveau de la mer et était protégée par une digue. Elle bénéficiait d’un port dont l’écluse était contrôlée par le roi. La fille du roi, qui s’appelait Dahut, rêvait que sa ville devienne prospère, elle s’empara un jour d’un dragon dont elle se servit pour détourner les navires marchands alentour et ainsi s’approprier leurs richesses. Ys devint rapidement une cité puissante. Chaque soir, la maîtresse d’Ys invitait ses amants à la rejoindre et leur couvrait le visage avec un masque. Ce masque se transformait en griffes de métal et tuait les pauvres gens dont les corps étaient jetés du haut de la falaise. Un beau jour, un prince de passage vint à la rencontre de Dahut. Elle en tomba profondément amoureuse. Ce prince n’était nul autre que le Diable, qui venait punir la ville. Aveuglée par son amour, Dahut déroba la clé de l’écluse à son père pour l’offrir à l’élu de son cœur. Ce dernier ouvrit l’écluse en les flots envahirent la cité. Seul le roi réussit à en réchapper, grâce à l’aide du pieux Saint Gwénolé.

On dit qu’encore aujourd'hui, lorsque la mer est agitée, on peut entendre sonner les cloches d’Ys, la ville engloutie.
",48.093228,-4.328619,Douarnenez 29100,TRUE,TRUE,TRUE,https://i.pinimg.com/originals/eb/3d/1f/eb3d1f1b45e3fbf1a407bc1df69940bc.jpg
Mona au royaume des morgans,Finistère,29,Créatures Fantastiques,Une jeune fille d'une grande beauté se fait enlever par les morgans..., peuple de la mer","Fée Armelle : “Ecoutez bien cette histoire, car elle est chère à mon cœur. Il y a bien longtemps sur l’île d’Ouessant, vivait une humaine du nom de Mona. Cette jeune femme était d’une telle beauté que l’on disait d’elle qu’elle était la fille d’un Morgan, sublime créature de la mer. Admirée et adulée par cet éclat pur qu’était le sien, Mona en devint fière et arrogante. Un beau jour, alors qu’elle discutait avec ses amies, elle leur avoua ne vouloir épouser qu’un prince, un fils de seigneur, ou un morgan. Un vieux Morgan qui passait par là entendit les paroles de Mona et, subjugué par sa beauté, l’emporta avec lui au fond des mers. Cet homme, qui n’était autre que le roi des morgans, avait un fils qui tomba immédiatement amoureux de la jeune fille. Fou d’amour, il supplia son père de le laisser l’épouser. Mais son père, qui avait les mêmes intentions, refusa et le força à choisir une Morganès. Malgré ses réticences, le jeune Morgan fut marié à une belle Morganès de la cour. Mona fut chargée par le roi de mener les deux mariés jusqu’à la suite nuptiale en tenant un cierge qui, une fois consumé, déclencherait sa mort. Conscient du danger auquel faisait face la femme qu’il aimait, le prince demanda à sa nouvelle épouse de tenir le cierge à la place de Mona quelques instants. Ignorant les intentions du roi, la Morganès s’exécuta. Le cierge se consuma jusqu’à sa main et sans crier gare, le roi lui trancha la tête dans l’obscurité. Ce n’est que plus tard qu’il se rendit compte de son erreur, et autorisa, à la demande de son fils, le mariage avec la fille de la Terre. Cette dernière était cependant malheureuse car elle était loin de sa famille et de ceux qu’elle chérissait tant. Le prince, bouleversé, décida alors de la laisser voir ses proches, à condition qu’elle ne se laisse embrasser par aucun homme sur sa route. Malheureusement, en voyant son père, elle se laissa embrasser et oublia tout souvenir du royaume des Morgans. Mais, un soir, elle entendit des plaintes venant des vagues de la mer. ces gémissements venaient du prince. Mona se rappela de tout, et courut rejoindre son époux. Depuis, nul ne l’a jamais revue.”",48.4598,-5.0863,Ouessant 29242,TRUE,TRUE,TRUE,https://www.brest-terres-oceanes.fr/wp-content/uploads/2018/06/Lîle-dOuessant-©BERTHIER-Emmanuel-1-1920x920.jpg
